Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
310	32457.242777777778	20133.898055555557	0.0	0.0	3111.6675	0.0
311	32597.429166666665	20371.910277777777	0.0	0.0	3097.076111111111	0.0
312	32605.816944444443	20133.597777777777	0.0	0.0	3066.0408333333335	0.0
313	32417.065833333334	20182.421388888888	0.0	0.0	3090.1319444444443	0.0
314	32674.556944444445	20449.349166666667	0.0	0.0	3137.5580555555557	0.0
315	32361.88611111111	20085.25222222222	0.0	0.0	3107.0780555555557	0.0
316	32542.68388888889	20300.812777777777	0.0	0.0	3130.3344444444447	0.0
317	32428.005	20165.855	0.0	0.0	3137.992777777778	0.0
318	32640.328055555554	20295.07277777778	0.0	0.0	3165.886111111111	0.0
319	32366.972222222223	20180.066666666666	0.0	0.0	3132.8316666666665	0.0
320	32487.915	20303.409444444445	0.0	0.0	3147.3419444444444	0.0
321	32581.269166666665	20282.046944444446	0.0	0.0	3100.9083333333333	0.0
322	32409.070833333335	20251.98611111111	0.0	0.0	3122.423888888889	0.0
323	32587.591666666667	20183.66972222222	0.0	0.0	3165.4983333333334	0.0
324	32557.875277777777	20389.74638888889	0.0	0.0	3133.6047222222223	0.0
325	32393.416666666668	19911.8975	0.0	0.0	3111.226388888889	0.0
326	32510.37583333333	20544.62	0.0	0.0	3105.119722222222	0.0
327	32328.206944444446	20232.179444444446	0.0	0.0	3106.8991666666666	0.0
328	32475.405277777776	19841.846944444445	0.0	0.0	3133.208611111111	0.0
329	32366.295833333334	20086.894722222223	0.0	0.0	3122.1266666666666	0.0
330	32423.585277777776	19746.021666666667	0.0	0.0	3108.231388888889	0.0
331	32346.457777777778	20199.791666666668	0.0	0.0	3125.7916666666665	0.0
332	32511.577222222222	19891.861944444445	0.0	0.0	3119.7675	0.0
333	32282.589444444446	20114.76638888889	0.0	0.0	3104.0194444444446	0.0
334	32500.63861111111	20282.328333333335	0.0	0.0	3115.430277777778	0.0
335	32275.54472222222	19949.804444444446	0.0	0.0	3138.7669444444446	0.0
336	32466.538055555557	20101.056944444445	0.0	0.0	3105.181666666667	0.0
337	32318.063611111113	19952.985833333332	0.0	0.0	3121.7472222222223	0.0
338	32246.710277777776	19752.300277777777	0.0	0.0	3098.8391666666666	0.0
339	32416.10361111111	20178.62222222222	0.0	0.0	3151.358333333333	0.0
340	32376.363333333335	20012.28888888889	0.0	0.0	3132.3127777777777	0.0
341	32224.420833333334	19959.341666666667	0.0	0.0	3087.8105555555558	0.0
342	32344.298333333332	20146.386944444443	0.0	0.0	3158.6141666666667	0.0
343	32190.81638888889	20289.769722222223	0.0	0.0	3127.248611111111	0.0
344	32427.591944444444	19921.449166666665	0.0	0.0	3121.4222222222224	0.0
345	32265.100555555557	19876.89888888889	0.0	0.0	3132.133333333333	0.0
346	32473.50361111111	20174.973611111112	0.0	0.0	3142.8530555555553	0.0
347	32388.903611111113	20007.616944444446	0.0	0.0	3131.801111111111	0.0
348	32470.30722222222	19864.08027777778	0.0	0.0	3140.9836111111113	0.0
349	32410.34361111111	20181.881666666668	0.0	0.0	3112.04	0.0
350	32260.090277777777	19797.6825	0.0	0.0	3121.5741666666668	0.0
351	32333.955	19628.67027777778	0.0	0.0	3209.888611111111	0.0
352	32425.60027777778	19507.33722222222	0.0	0.0	3207.8619444444444	0.0
353	32050.735	19475.685555555556	0.0	0.0	3207.8747222222223	0.0
354	32409.595	20015.37416666667	0.0	0.0	3207.839722222222	0.0
355	32321.995833333334	19596.68138888889	0.0	0.0	3207.860833333333	0.0
356	32121.3125	19387.491388888888	0.0	0.0	3207.844722222222	0.0
357	32335.131666666668	19716.734166666665	0.0	0.0	3207.8597222222224	0.0
358	32329.0575	19439.46861111111	0.0	0.0	3207.869722222222	0.0
359	32137.578055555554	20068.16	0.0	0.0	3207.843611111111	0.0
360	32472.214722222223	19936.722222222223	0.0	0.0	3205.8191666666667	0.0
361	32384.12638888889	19698.992222222223	0.0	0.0	3207.8558333333335	0.0
362	32240.972222222223	19661.68361111111	0.0	0.0	3207.8547222222223	0.0
363	32413.98888888889	19567.213055555556	0.0	0.0	3207.8708333333334	0.0
364	32298.071944444444	19527.281944444443	0.0	0.0	3207.845277777778	0.0
365	32099.954166666666	19664.1375	0.0	0.0	3207.8747222222223	0.0
