ITERATION	avg. Average Leg distance	avg. Average Trip distance
316	9373.077777072303	29603.35632391774	
317	9392.508994393116	29658.15077685477	
318	9343.002386992524	29506.79178126664	
319	9380.758717687171	29617.770977618293	
320	9379.042229037634	29619.29188143967	
321	9315.707002561794	29402.02057835988	
322	9428.203808002034	29775.507020313267	
323	9331.096658565097	29461.16870862317	
324	9404.421252551858	29700.841621810345	
325	9353.652563626649	29532.84592368055	
326	9387.934080087745	29641.705407676312	
327	9391.505226360032	29658.110487673825	
328	9356.420544120208	29548.984100223555	
329	9405.099405165254	29695.78531466606	
330	9413.693848128396	29726.900145286432	
331	9394.08710956497	29666.2283933143	
332	9314.309522196612	29408.827750928056	
333	9379.402675227862	29615.146098920723	
334	9370.437057251725	29582.431893271816	
335	9394.088924154863	29664.242444448366	
336	9410.522293998207	29711.35902964554	
337	9374.779720077793	29602.83103822598	
338	9331.489456792053	29470.13102181417	
339	9360.679155141963	29556.912235069703	
340	9350.678478148202	29531.196451843414	
341	9415.730115528855	29731.040715747233	
342	9380.4484302073	29615.54461901542	
343	9385.522560267405	29637.86647499914	
344	9359.927669831213	29558.970460681114	
345	9423.144115128813	29756.366249893188	
346	9314.018076699507	29421.95464398776	
347	9373.82006487389	29599.647107968598	
348	9310.68557534514	29403.195304794426	
349	9360.757113614718	29560.5138454028	
350	9334.883582087547	29489.52874321118	
351	9371.133210432172	29519.401297366356	
352	9359.578832750534	29484.63973624364	
353	9339.97117476306	29422.26849998231	
354	9354.11193080409	29466.336254718386	
355	9354.204680663157	29467.465099134246	
356	9322.437812222775	29364.371222611528	
357	9333.622472654335	29401.86710258526	
358	9343.070171952008	29430.266297999715	
359	9296.711347090162	29285.517898056154	
360	9351.81169508172	29458.298975843503	
361	9327.995554929234	29382.67042490998	
362	9340.653899297968	29425.719322884008	
363	9323.53745908042	29370.721715688614	
364	9388.867095952755	29575.55074401501	
365	9308.452912433651	29319.111597798186	
366	9372.5411031786	29526.06498155318	
367	9288.001199288192	29256.480188045043	
368	9364.17021363419	29500.062125729684	
369	9306.253616359458	29313.6712034142	
370	9381.934728138875	29556.44118950261	
371	9302.840620447883	29299.97149993796	
372	9382.442314127476	29558.27647326747	
373	9330.603781820344	29387.142422206725	
374	9356.769716479825	29478.805889499476	
375	9331.128774613826	29390.380906390725	
376	9379.914766145164	29550.765790182537	
377	9337.443824866412	29411.62759488512	
378	9351.36572369096	29458.950807339603	
379	9335.668626301951	29404.937530005416	
380	9339.194528509197	29423.933438023334	
381	9356.185141376103	29471.331372248016	
382	9345.380692537103	29442.36116567912	
383	9339.243832584041	29418.14216282286	
384	9343.989663874021	29435.802112480877	
385	9343.80501445045	29435.082277920257	
386	9351.840352279192	29461.79334308714	
387	9349.240699716125	29453.487765106038	
388	9340.057946999621	29420.91979753789	
389	9309.018167011194	29325.705029063058	
390	9354.267517969938	29466.33849999227	
391	9355.50157953207	29466.129936579182	
392	9285.533623785448	29250.463647800014	
393	9337.939688585508	29411.251591988388	
394	9296.594333544132	29285.279843586188	
395	9364.712934404606	29495.74482820116	
396	9372.088585719548	29521.161168222916	
397	9366.316659307691	29503.12773136662	
398	9313.007486952585	29334.49970761584	
399	9360.0222960029	29486.06595248051	
400	9305.9839495002	29315.18491649493	
401	9334.605777327684	29403.272860472905	
402	9304.260088563431	29306.4929368507	
403	9320.790901077818	29359.258697697154	
404	9341.123594509174	29426.19161463151	
405	9358.027627352265	29481.333401657303	
406	9336.611332887443	29412.47125027152	
407	9326.299193241204	29380.26393959485	
408	9332.37441019446	29395.284596638765	
409	9307.487119438607	29320.460765618387	
410	9371.823041784746	29520.822166295657	
411	9295.795403012668	29283.50180572039	
412	9343.591670468284	29434.357543048583	
413	9374.420629438393	29527.737287362852	
414	9294.78172049332	29278.24177403099	
415	9353.537386889036	29468.331856454824	
416	9326.16976542779	29376.378420988178	
417	9309.42577500205	29325.700520658622	
418	9275.698872596977	29214.55208520565	
419	9359.542732976319	29488.133530491374	
420	9304.892304215427	29307.27049073335	
421	9366.654091046395	29507.82286889448	
422	9281.652851817484	29234.44667251137	
423	9373.15037773964	29529.27605780122	
424	9302.939613770417	29302.958614974523	
425	9332.36988680493	29398.33496352051	
426	9329.511893073708	29386.676043336738	
427	9363.776203627707	29499.686733486877	
428	9323.10008229641	29366.445413942456	
429	9301.121855941137	29299.47379640258	
430	9345.01651617063	29437.123266584862	
431	9340.213294924473	29423.55416434862	
432	9297.690500756875	29285.212658519784	
433	9384.83605077292	29565.06900132999	
434	9346.354108496756	29439.816439367205	
435	9337.63948219151	29412.58416382952	
436	9350.16133914392	29451.614674928653	
437	9342.19643128946	29423.25292100479	
438	9353.620441363986	29464.958583565927	
439	9317.881799972025	29346.4643230682	
440	9329.466942520003	29388.928616992867	
441	9365.361782225747	29501.058666236037	
442	9332.455785989996	29397.816732405096	
443	9330.655067840264	29385.953544382905	
444	9393.605209377783	29591.993298202524	
445	9271.019782791911	29201.096344163987	
446	9356.592673220299	29472.086114322392	
447	9340.919332404104	29416.89461525604	
448	9311.914185289505	29336.228948641074	
449	9332.641741602713	29390.63781951621	
450	9365.45141842931	29502.68370316758	
451	9319.371320400149	29351.25680130319	
452	9337.803963720393	29417.771073294043	
453	9296.692118071333	29277.750356275596	
454	9361.650951280122	29492.946726976752	
455	9318.621516049923	29348.40762605601	
456	9363.31716836126	29497.688679468127	
457	9306.936283260546	29310.798766005944	
458	9350.614814669321	29457.335777950113	
459	9342.890955429506	29426.692250200318	
460	9366.073400582174	29506.295546131543	
461	9335.333441665649	29401.345239163224	
462	9387.421628333512	29574.370659976372	
463	9327.971148367255	29375.36984352048	
464	9353.158253991009	29466.62545126863	
465	9299.424321478235	29284.65212925456	
466	9394.675281472137	29595.81064307357	
467	9308.445301657102	29320.62027300595	
468	9376.504867810056	29537.692736195804	
469	9305.300219964696	29302.721586638032	
470	9376.10528553336	29538.300770044138	
471	9307.761814492254	29317.203071888573	
472	9353.362086089734	29465.974538611114	
473	9369.60417938983	29510.667003939143	
474	9336.115825686657	29409.266621588496	
475	9318.644789389615	29348.091107350418	
476	9340.1809084527	29423.540221424184	
477	9322.576998709606	29364.260176852473	
478	9353.057946999621	29465.58141567803	
479	9361.605081688316	29482.475305574255	
480	9370.173943426738	29520.230410672884	
481	9369.867731866636	29509.186013004142	
482	9331.058664978686	29396.951892954457	
483	9354.690255383126	29458.813625004666	
484	9281.413087540383	29236.830683470787	
485	9393.831907436426	29585.925337110755	
486	9284.578469697313	29249.72016612882	
487	9343.054931025461	29423.66520428106	
488	9312.2305705313	29337.029238676234	
489	9359.280391599961	29472.301453342192	
490	9355.321901715026	29473.039771661566	
491	9374.158920592488	29522.68902306138	
492	9338.206009168667	29416.914070004925	
493	9400.893182658401	29603.872494161453	
494	9341.892246308995	29428.579992604682	
495	9392.136575817603	29582.816367990425	
496	9310.820098424296	29330.004718590157	
497	9388.338378087436	29570.700365689805	
498	9322.477095664326	29368.83711882945	
499	9408.754735388773	29633.671266118912	
500	9336.12748692166	29414.624243611415	
501	9413.337252108187	29645.62473183353	
502	9351.644664951671	29461.48401841913	
503	9403.783241974948	29618.442638330096	
504	9306.361220487825	29316.1207092878	
505	9408.326906800114	29631.129120949186	
506	9346.078088677152	29440.699443567268	
507	9358.404160150816	29476.09872568943	
508	9383.94771259593	29561.004257379915	
509	9381.227538868774	29544.280338646626	
510	9323.821280987646	29371.250200393155	
511	9373.370534453528	29521.45949649514	
512	9336.010102982158	29411.267554353275	
513	9375.010094950858	29523.974534211062	
514	9367.455883641156	29509.281054839295	
515	9392.57826268043	29580.714910242936	
516	9338.733459690793	29420.442974637663	
517	9414.659029060605	29652.346909912612	
518	9308.31652071014	29322.35526126639	
519	9413.287371327408	29648.733342014602	
520	9374.95487822209	29532.341509407117	
521	9349.676373181755	29448.48160852356	
522	9355.088121317118	29471.3225473091	
523	9379.1120302387	29542.9707836732	
524	9321.932403968116	29365.59901207388	
525	9370.31390672733	29512.006741203888	
526	9311.517334422213	29333.87493232907	
527	9379.700214519424	29542.68147109149	
528	9358.17297023267	29480.420800261865	
529	9361.520685704143	29482.225425147433	
530	9309.886146448023	29327.214696384286	
