Iteration	pt	walk
592	1920436.789	42613.06228010729
593	1909561.531	42705.820235465784
594	1926533.197	42619.7702906176
595	1911818.683	42651.16358064831
596	1928179.114	42656.033931807295
597	1915572.764	42675.7845603044
598	1930873.591	42589.13121796574
599	1915578.474	42671.300527111096
600	1923592.439	42573.915692590715
601	1915727.296	42819.26523334873
602	1939480.966	42662.506794148445
603	1913383.733	42673.09192655071
604	1927034.253	42631.7204424783
605	1920074.087	42668.82114720505
606	1931865.769	42670.27109544088
607	1918200.938	42595.267060567516
608	1927648.357	42667.61247352335
609	1917948.006	42634.64323518467
610	1929349.077	42634.65150833401
611	1925434.27	42647.03334589251
612	1913133.702	42650.58054249695
613	1922770.204	42674.55321804576
614	1916379.822	42697.87804724258
615	1913179.121	42614.705976989375
616	1923037.872	42690.662101065536
617	1910757.296	42643.000686255444
618	1926364.543	42612.30580071157
619	1909875.551	42756.857146582246
620	1926408.47	42662.17689592015
621	1916376.423	42727.204945895304
622	1924680.451	42610.41466199635
623	1913841.23	42660.43396809875
624	1920302.709	42708.34300739902
625	1918406.312	42639.47830909903
626	1916866.618	42631.13096965523
627	1913733.724	42626.302330412596
628	1921572.878	42664.68876157819
629	1909233.47	42675.76066009519
630	1915071.67	42665.95590729785
631	1918042.92	42684.371251089025
632	1917204.015	42670.18108394893
633	1916808.025	42650.74768295996
634	1917765.848	42567.71443716959
635	1916073.006	42637.151423887444
636	1911589.156	42637.90603774631
637	1917325.442	42708.36782684704
638	1911024.67	42746.55640822279
639	1928146.274	42696.93477598201
640	1918928.982	42683.60652560318
641	1920525.31	42659.861960813156
642	1919639.162	42663.54541820682
643	1922450.083	42683.46388082086
644	1915931.283	42661.838340699214
645	1926673.572	42700.55229621996
646	1917377.03	42676.97085986106
647	1916363.895	42687.650599949346
648	1915561.101	42701.83119085798
649	1925303.469	42695.12774948254
650	1913541.113	42616.101701994565
651	1916522.083	42634.64415442349
652	1916249.271	42660.600947612176
653	1921689.858	42702.703009529956
654	1916864.561	42714.5442297269
655	1915238.123	42671.91757709863
656	1912815.794	42622.4335087292
657	1922380.687	42732.977775637344
658	1917365.605	42735.381628870404
659	1922958.926	42615.22675494031
660	1915826.373	42650.38414734143
661	1922054.343	42691.857593010376
662	1912718.048	42679.7441385915
663	1922422.172	42692.35357857249
664	1911189.015	42725.05882877938
665	1924233.974	42659.86747624606
666	1916149.209	42661.39654337445
667	1930646.769	42694.96168920793
668	1921545.043	42697.879885720205
669	1925022.303	42603.79186559765
670	1912126.742	42657.52220625815
671	1918365.571	42614.28440291855
672	1911758.832	42620.896168451465
673	1925528.861	42601.471415057764
674	1910816.101	42641.264193105744
675	1922350.456	42627.85897470544
676	1914475.921	42641.864696794604
677	1925498.236	42687.3873483993
